visitedNodes,SIMPLE_NAME, line no: 29,unvisitedNodes,SIMPLE_NAME, 0.8571428571428571, 0.0, 0.0, 0.8571428571428571, 0.0, 1.0
unvisitedNodes.get(nextnode),METHOD_INVOCATION, line no: 33,unvisitedNodes.get(node),METHOD_INVOCATION, 0.8571428571428571, 0.0, 0.0, 0.8571428571428571, 0.0, 1.0
unvisitedNodes,SIMPLE_NAME, line no: 33,visitedNodes,SIMPLE_NAME, 0.8571428571428571, 0.0, 0.0, 0.8571428571428571, 0.0, 1.0
unvisitedNodes,SIMPLE_NAME, line no: 34,visitedNodes,SIMPLE_NAME, 0.8571428571428571, 0.0, 0.0, 0.8571428571428571, 0.0, 1.0
unvisitedNodes,SIMPLE_NAME, line no: 37,visitedNodes,SIMPLE_NAME, 0.8571428571428571, 0.0, 0.0, 0.8571428571428571, 0.0, 1.0
unvisitedNodes.get(nextnode),METHOD_INVOCATION, line no: 37,unvisitedNodes.get(node),METHOD_INVOCATION, 0.8571428571428571, 0.0, 0.0, 0.8571428571428571, 0.0, 1.0
unvisitedNodes,SIMPLE_NAME, line no: 37,visitedNodes,SIMPLE_NAME, 0.8571428571428571, 0.0, 0.0, 0.8571428571428571, 0.0, 1.0
unvisitedNodes.get(nextnode),METHOD_INVOCATION, line no: 38,unvisitedNodes.get(node),METHOD_INVOCATION, 0.8571428571428571, 0.0, 0.0, 0.8571428571428571, 0.0, 1.0
unvisitedNodes,SIMPLE_NAME, line no: 38,visitedNodes,SIMPLE_NAME, 0.8571428571428571, 0.0, 0.0, 0.8571428571428571, 0.0, 1.0
unvisitedNodes.put(nextnode Math.min(unvisitedNodes.get(nextnode) unvisitedNodes.get(nextnode) + length_by_edge.get(Arrays.asList(node nextnode)))),METHOD_INVOCATION, line no: 37,Math.min(unvisitedNodes.get(nextnode) unvisitedNodes.get(nextnode) + length_by_edge.get(Arrays.asList(node nextnode))),METHOD_INVOCATION, 0.8027210884353742, 0.0, 0.0, 0.8027210884353742, 0.0, 1.0
Math.min(unvisitedNodes.get(nextnode) unvisitedNodes.get(nextnode) + length_by_edge.get(Arrays.asList(node nextnode))),METHOD_INVOCATION, line no: 37,unvisitedNodes.put(nextnode Math.min(unvisitedNodes.get(nextnode) unvisitedNodes.get(nextnode) + length_by_edge.get(Arrays.asList(node nextnode)))),METHOD_INVOCATION, 0.8027210884353742, 0.0, 0.0, 0.8027210884353742, 0.0, 1.0
